rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold
3.0,2.0,77,-23.6246294,-46.7387574,686126,2,75.83827276107867,0
1.0,1.0,35,-23.55317,-46.648687,675152,3,215.49061763424655,0
3.0,2.0,97,-23.6070945,-46.6344145,871258,2,92.04819975237498,0
3.0,3.0,102,-23.5397323,-46.5675586,648740,3,32.0,1
2.0,1.0,78,-23.5919927,-46.6254807,968643,2,319.5708662055487,0
3.0,3.0,210,-23.6163297,-46.6825409,2175420,2,93.35525547836055,0
2.0,1.0,70,-23.5464492,-46.6503878,592282,2,20.0,1
3.0,2.0,94,-23.6115566,-46.6351986,972772,1,1.1517304901469583,0
4.0,4.0,220,-23.6257665,-46.7310478,1284100,3,5.0,1
2.0,1.0,110,-23.533349,-46.704305,844643,3,9.0,1
3.0,2.0,100,-23.6063222,-46.6611454,1238490,3,225.8519470088576,0
3.0,2.0,155,-23.5725935,-46.6565657,2198120,2,173.69883246276328,0
4.0,3.0,196,-23.5757016,-46.6494995,2869300,3,58.0,1
4.0,3.0,340,-23.5620194,-46.6468708,2438860,1,274.4760443497555,0
3.0,1.0,160,-23.570763,-46.695001,1996090,3,76.22799643089165,0
2.0,1.0,80,-23.6251525,-46.6838094,801656,3,125.0,1
4.0,5.0,490,-23.6243125,-46.6234206,4153910,3,259.3259954715871,0
2.0,1.0,58,-23.63904,-46.735637,371633,3,79.0,1
3.0,1.0,125,-23.5588825,-46.6730892,1090970,3,6.59076553519788,0
2.0,1.0,72,-23.60689,-46.618286,440114,3,39.4338199565466,0
2.0,1.0,74,-23.5393116,-46.7056174,549229,1,39.495909447274876,0
2.0,2.0,66,-23.5135799,-46.7138416,590892,2,77.0,1
3.0,1.0,130,-23.5663346,-46.6604153,1907120,2,172.25306487938326,0
4.0,3.0,226,-23.4914289,-46.631757,2037780,1,121.0,1
1.0,1.0,43,-23.5721308,-46.62641,565732,3,328.90800324363653,0
4.0,6.0,357,-23.5678186,-46.628309,4054730,2,259.03672998885423,0
2.0,1.0,121,-23.5457309,-46.6577247,1214410,1,191.6058203342685,0
3.0,3.0,206,-23.5565664,-46.6952374,2568950,3,221.35802569239564,0
2.0,2.0,65,-23.5982391,-46.6670927,943948,3,118.11681472380776,0
3.0,3.0,330,-23.5816583,-46.6924282,4999430,1,131.13319106485895,0
3.0,1.0,100,-23.5883999,-46.6401153,708384,3,83.0,1
4.0,3.0,185,-23.571668,-46.6343423,1678250,2,1.9754979417588148,0
2.0,2.0,60,-23.5915449,-46.6273373,576609,2,86.0,1
3.0,3.0,225,-23.5651347,-46.6589002,2654700,2,52.0153015065233,0
3.0,1.0,54,-23.5467306,-46.5897511,399935,1,40.0,1
4.0,2.0,149,-23.5911488,-46.719962,1571550,3,326.53042136524675,0
2.0,1.0,50,-23.5197194,-46.7242167,499008,1,254.64177083842458,0
