rooms,garages,useful_area,latitude,longitude,value,interior_quality
2.0,1.0,57,-23.6115135,-46.6300693,454377,2
3.0,2.0,120,-23.5602863,-46.6643168,1500960,1
2.0,2.0,80,-23.5632536,-46.6965585,1045980,3
3.0,4.0,500,-23.5097595,-46.6507406,3707770,3
3.0,2.0,122,-23.520498,-46.72322,1007670,2
3.0,1.0,93,-23.587962,-46.6403353,873119,1
3.0,2.0,207,-23.5781134,-46.5904252,1506980,2
2.0,1.0,58,-23.5630176,-46.6988865,550846,3
3.0,4.0,187,-23.636608,-46.73532,1091290,2
3.0,2.0,71,-23.5420918,-46.5699879,499956,2
3.0,2.0,230,-23.5904157,-46.6710056,3919550,3
3.0,1.0,115,-23.5628246,-46.6772366,1434690,1
4.0,4.0,220,-23.6366667,-46.73,1317190,1
2.0,1.0,48,-23.5593982,-46.6208586,336625,3
2.0,2.0,85,-23.5633089,-46.6822093,1121950,3
2.0,2.0,101,-23.612646,-46.6256865,916856,3
2.0,1.0,64,-23.6104652,-46.6255345,314031,2
2.0,1.0,45,-23.643029,-46.602321,220182,2
3.0,1.0,75,-23.6278513,-46.6357713,661913,2
4.0,3.0,190,-23.636288,-46.7141,1690500,3
4.0,4.0,241,-23.6208851,-46.7330789,1325960,2
3.0,2.0,92,-23.535109,-46.705694,901730,1
1.0,2.0,46,-23.5465714,-46.6921247,643046,2
2.0,1.0,69,-23.5540461,-46.6501401,1051160,3
4.0,1.0,250,-23.5248081,-46.7309582,2689480,2
2.0,1.0,102,-23.5614269,-46.6797885,916240,1
2.0,1.0,51,-23.6182983,-46.6325501,386613,2
3.0,3.0,480,-23.5826251,-46.6810075,4711250,1
3.0,2.0,123,-23.5537828,-46.6536451,1438350,3
2.0,2.0,85,-23.5635219,-46.6889798,918857,3
4.0,3.0,190,-23.49857,-46.6287094,1818260,2
1.0,1.0,33,-23.588729,-46.632771,234947,3
4.0,4.0,312,-23.6275656,-46.6727872,2688540,2
3.0,1.0,96,-23.5618162,-46.662337,1100210,3
1.0,2.0,170,-23.5656279,-46.6532238,2866600,2
3.0,1.0,190,-23.535784,-46.65675,1712210,3
3.0,3.0,200,-23.6195721,-46.6739801,1906980,2
2.0,2.0,47,-23.6019514,-46.6064406,422289,3
2.0,1.0,72,-23.576523,-46.6444992,600155,2
3.0,2.0,187,-23.5805585,-46.674269,1827860,3
2.0,1.0,70,-23.5243286,-46.7093499,412664,1
3.0,1.0,134,-23.5690085,-46.6601042,1399750,1
4.0,2.0,110,-23.6139098,-46.7394285,1311010,3
3.0,3.0,152,-23.6348866,-46.7375901,1006850,3
3.0,2.0,156,-23.5605961,-46.6653165,1835130,3
3.0,2.0,300,-23.6029811,-46.6709918,3374580,2
3.0,2.0,84,-23.5815133,-46.6795415,1026470,3
3.0,3.0,216,-23.580281,-46.6298317,2059060,2
2.0,1.0,58,-23.527763,-46.6632711,625561,1
3.0,3.0,130,-23.6443848,-46.6709369,1031970,3
3.0,3.0,250,-23.6267977,-46.730333,1779580,3
4.0,2.0,193,-23.5271662,-46.6925213,1868650,1
3.0,2.0,130,-23.5439389,-46.6610883,1682310,3
2.0,1.0,52,-23.6308532,-46.7012985,488231,2
2.0,2.0,142,-23.621515,-46.6722411,1233380,1
3.0,2.0,97,-23.5927592,-46.648302,942153,2
3.0,1.0,140,-23.540877,-46.7064596,989371,2
1.0,1.0,45,-23.6060202,-46.6681773,462712,3
2.0,1.0,65,-23.5957016,-46.6431817,570461,2
2.0,1.0,75,-23.5965348,-46.645581,580724,2
2.0,1.0,65,-23.5624503,-46.6268972,550026,1
3.0,3.0,103,-23.6352888,-46.7159311,1115970,1
3.0,2.0,126,-23.5835598,-46.629028,1122740,1
3.0,3.0,180,-23.5440967,-46.6882201,1983880,3
3.0,2.0,69,-23.5723732,-46.6504663,744326,1
3.0,1.0,147,-23.5455194,-46.6554409,1261410,1
1.0,2.0,86,-23.5312627,-46.7298738,1015020,1
2.0,1.0,124,-23.5715374,-46.6199598,632185,1
3.0,1.0,90,-23.600205,-46.6730613,800360,1
2.0,1.0,71,-23.5954209,-46.6772848,667691,2
4.0,1.0,140,-23.5548965,-46.6586988,1269910,2
3.0,2.0,75,-23.5348488,-46.5788795,635937,3
2.0,1.0,45,-23.5673875,-46.6585692,609936,3
3.0,2.0,110,-23.5691389,-46.7282549,831148,1
3.0,4.0,170,-23.6046798,-46.6731427,2646920,1
